label,text
Marriage and family,My husband beats me regularly. What can I do?
Marriage and family,My wife wants a divorce. What are my options?
Marriage and family,My husband is not giving me maintenance after separation.
Marriage and family,I want to file for mutual consent divorce.
Marriage and family,My in-laws are harassing me for dowry.
Marriage and family,I want custody of my child after separation.
Marriage and family,My husband is having an affair. What can I do?
Marriage and family,We are unmarried partners and want to know our legal rights.
Marriage and family,My spouse is abusive and I want to know my legal options.
Marriage and family,How do I file for divorce in a contested case?
Marriage and family,My husband won't let me meet our children after separation.
Marriage and family,Can I get maintenance if I am not yet divorced?
Labour dispute,My employer made me resign forcefully.
Labour dispute,My boss is not paying my salary.
Labour dispute,I am being forced to work overtime and weekends without extra payment.
Labour dispute,I was fired without any notice or reason.
Labour dispute,My employer is not giving me my final settlement after resignation.
Labour dispute,I am facing sexual harassment at my workplace.
Labour dispute,My company is not depositing my provident fund (PF) contributions.
Labour dispute,I was denied maternity leave by my employer.
Labour dispute,My manager is making me work extra hours with no overtime pay.
Labour dispute,I was terminated from my job with no severance.
Labour dispute,My company hasn't paid my dues since I resigned.
Labour dispute,I'm being harassed by a coworker and HR isn't acting.
Traffic accident,My bike was hit by a car. What should I do?
Traffic accident,I was injured in a road accident caused by another driver.
Traffic accident,My car was damaged in a hit-and-run accident.
Traffic accident,The other driver is refusing to pay for accident damages.
Traffic accident,How do I claim insurance after a road accident?
Traffic accident,I received a traffic challan I believe is unfair.
Traffic accident,Someone died in an accident I was involved in. What are my legal risks?
Traffic accident,My insurance company is denying my accident claim.
Traffic accident,A truck hit my car from behind at a signal.
Traffic accident,I got into an accident and the other party is refusing to settle.
Traffic accident,My vehicle insurance claim was rejected after a crash.
Traffic accident,I was booked for a traffic violation I didn't commit.
Debt dispute,My friend refuses to return borrowed money.
Debt dispute,A company is not refunding money I paid in advance.
Debt dispute,I am being harassed by loan recovery agents.
Debt dispute,Someone issued me a cheque that bounced.
Debt dispute,I can't repay my personal loan and the bank is threatening legal action.
Debt dispute,My business partner owes me money and won't pay.
Debt dispute,I lent money without any written agreement. Can I still recover it?
Debt dispute,I'm being asked to pay a debt that isn't mine.
Debt dispute,I gave someone a personal loan and they stopped responding.
Debt dispute,A collection agency keeps calling me about a debt I already paid.
Debt dispute,My cheque bounced and now I'm being threatened with legal action.
Debt dispute,A vendor hasn't paid an invoice for months.
Criminal defence,Someone filed a false FIR against me.
Criminal defence,I have been falsely accused of theft.
Criminal defence,Police are threatening to arrest me without a warrant.
Criminal defence,I was arrested and don't know my rights.
Criminal defence,I need to apply for bail. What is the process?
Criminal defence,Someone is threatening to file a false case against me.
Criminal defence,I was assaulted by someone. What legal action can I take?
Criminal defence,I received a police summons. What should I do?
Criminal defence,I'm being falsely implicated in a criminal case.
Criminal defence,The police called me in for questioning about a crime I didn't commit.
Criminal defence,I need help understanding the charges filed against me.
Criminal defence,I was detained by police and don't know what happens next.
Property dispute,Someone has occupied my land illegally.
Property dispute,My neighbour is threatening me over a property boundary dispute.
Property dispute,My siblings are refusing to give me my share of ancestral property.
Property dispute,A builder is delaying possession of my flat.
